"","X","CASE_YR","grp","Freq","scale"
"1",1,2006,"0F",12,1
"2",2,2007,"0F",9,1
"3",3,2008,"0F",11,1
"4",4,2009,"0F",12,1
"5",5,2010,"0F",16,1
"6",6,2011,"0F",10,1
"7",7,2012,"0F",8,1
"8",8,2013,"0F",11,1
"9",9,2014,"0F",4,1
"10",10,2006,"0M",67,11
"11",11,2007,"0M",58,11
"12",12,2008,"0M",47,11
"13",13,2009,"0M",55,11
"14",14,2010,"0M",54,11
"15",15,2011,"0M",41,11
"16",16,2012,"0M",34,11
"17",17,2013,"0M",32,11
"18",18,2014,"0M",37,11
"19",28,2006,"1F",67,2
"20",29,2007,"1F",74,2
"21",30,2008,"1F",71,2
"22",31,2009,"1F",56,2
"23",32,2010,"1F",56,2
"24",33,2011,"1F",66,2
"25",34,2012,"1F",47,2
"26",35,2013,"1F",54,2
"27",36,2014,"1F",47,2
"28",37,2006,"1M",588,12
"29",38,2007,"1M",608,12
"30",39,2008,"1M",562,12
"31",40,2009,"1M",518,12
"32",41,2010,"1M",613,12
"33",42,2011,"1M",585,12
"34",43,2012,"1M",470,12
"35",44,2013,"1M",515,12
"36",45,2014,"1M",505,12
"37",64,2006,"2F",80,3
"38",65,2007,"2F",105,3
"39",66,2008,"2F",144,3
"40",67,2009,"2F",155,3
"41",68,2010,"2F",173,3
"42",69,2011,"2F",176,3
"43",70,2012,"2F",176,3
"44",71,2013,"2F",202,3
"45",72,2014,"2F",150,3
"46",73,2006,"2M",675,13
"47",74,2007,"2M",617,13
"48",75,2008,"2M",726,13
"49",76,2009,"2M",760,13
"50",77,2010,"2M",945,13
"51",78,2011,"2M",922,13
"52",79,2012,"2M",891,13
"53",80,2013,"2M",1019,13
"54",81,2014,"2M",894,13
"55",91,2006,"3F",50,4
"56",92,2007,"3F",60,4
"57",93,2008,"3F",73,4
"58",94,2009,"3F",60,4
"59",95,2010,"3F",81,4
"60",96,2011,"3F",74,4
"61",97,2012,"3F",94,4
"62",98,2013,"3F",102,4
"63",99,2014,"3F",80,4
"64",100,2006,"3M",365,14
"65",101,2007,"3M",399,14
"66",102,2008,"3M",404,14
"67",103,2009,"3M",455,14
"68",104,2010,"3M",486,14
"69",105,2011,"3M",504,14
"70",106,2012,"3M",589,14
"71",107,2013,"3M",611,14
"72",108,2014,"3M",527,14
"73",127,2006,"4F",44,5
"74",128,2007,"4F",35,5
"75",129,2008,"4F",36,5
"76",130,2009,"4F",36,5
"77",131,2010,"4F",44,5
"78",132,2011,"4F",43,5
"79",133,2012,"4F",47,5
"80",134,2013,"4F",61,5
"81",135,2014,"4F",34,5
"82",136,2006,"4M",354,15
"83",137,2007,"4M",348,15
"84",138,2008,"4M",338,15
"85",139,2009,"4M",306,15
"86",140,2010,"4M",429,15
"87",141,2011,"4M",365,15
"88",142,2012,"4M",369,15
"89",143,2013,"4M",361,15
"90",144,2014,"4M",330,15
"91",163,2006,"5F",23,6
"92",164,2007,"5F",30,6
"93",165,2008,"5F",28,6
"94",166,2009,"5F",24,6
"95",167,2010,"5F",33,6
"96",168,2011,"5F",34,6
"97",169,2012,"5F",28,6
"98",170,2013,"5F",31,6
"99",171,2014,"5F",34,6
"100",172,2006,"5M",190,16
"101",173,2007,"5M",187,16
"102",174,2008,"5M",197,16
"103",175,2009,"5M",176,16
"104",176,2010,"5M",270,16
"105",177,2011,"5M",223,16
"106",178,2012,"5M",252,16
"107",179,2013,"5M",288,16
"108",180,2014,"5M",260,16
"109",181,2006,"6F",8,7
"110",182,2007,"6F",6,7
"111",183,2008,"6F",15,7
"112",184,2009,"6F",3,7
"113",185,2010,"6F",16,7
"114",186,2011,"6F",16,7
"115",187,2012,"6F",25,7
"116",188,2013,"6F",14,7
"117",189,2014,"6F",15,7
"118",190,2006,"6M",68,17
"119",191,2007,"6M",66,17
"120",192,2008,"6M",76,17
"121",193,2009,"6M",77,17
"122",194,2010,"6M",91,17
"123",195,2011,"6M",89,17
"124",196,2012,"6M",89,17
"125",197,2013,"6M",120,17
"126",198,2014,"6M",90,17
"127",199,2006,"7F",0,8
"128",200,2007,"7F",1,8
"129",201,2008,"7F",3,8
"130",202,2009,"7F",3,8
"131",203,2010,"7F",3,8
"132",204,2011,"7F",2,8
"133",205,2012,"7F",4,8
"134",206,2013,"7F",4,8
"135",207,2014,"7F",6,8
"136",208,2006,"7M",23,18
"137",209,2007,"7M",33,18
"138",210,2008,"7M",27,18
"139",211,2009,"7M",33,18
"140",212,2010,"7M",29,18
"141",213,2011,"7M",26,18
"142",214,2012,"7M",41,18
"143",215,2013,"7M",30,18
"144",216,2014,"7M",45,18
"145",217,2006,"8F",0,9
"146",218,2007,"8F",0,9
"147",219,2008,"8F",1,9
"148",220,2009,"8F",1,9
"149",221,2010,"8F",1,9
"150",222,2011,"8F",1,9
"151",223,2012,"8F",1,9
"152",224,2013,"8F",0,9
"153",225,2014,"8F",0,9
"154",226,2006,"8M",5,19
"155",227,2007,"8M",7,19
"156",228,2008,"8M",2,19
"157",229,2009,"8M",5,19
"158",230,2010,"8M",11,19
"159",231,2011,"8M",5,19
"160",232,2012,"8M",8,19
"161",233,2013,"8M",9,19
"162",234,2014,"8M",9,19
"163",235,2006,"9M",0,20
"164",236,2007,"9M",0,20
"165",237,2008,"9M",0,20
"166",238,2009,"9M",1,20
"167",239,2010,"9M",0,20
"168",240,2011,"9M",1,20
"169",241,2012,"9M",2,20
"170",242,2013,"9M",0,20
"171",243,2014,"9M",1,20
